Station,Address,Price
Yellow ,"5101 76th StRed Deer, AB",116.9
UFA ,"8121 Edgar Industrial DrRed Deer, AB",116.9
Fas Gas ,"7960b 50 AveRed Deer, AB",118.9
Esso ,"7111 Gaetz AveRed Deer, AB",119.9
Chevron ,"7141 50th AveRed Deer, AB",119.9
Mobil ,"5016 51 AveRed Deer, AB",120.4
Petro-Canada ,"5908 Gaetz AveRed Deer, AB",120.4
Shell ,"6607 67th St  Red Deer, AB",120.9
Fas Gas ,"20 Thomlison Ave Unit 7101Red Deer, AB",120.9
Fas Gas ,"5926 54th AveRed Deer, AB",120.9
